bucket,line
well_formed_call_should_have_been_allowed,"<com.cmcm.gl.widget.GLTextViewExt: void <init>(android.content.Context,android.util.AttributeSet,int,int)> -> <android.content.res.TypedArray: int getIndex(int)>"
well_formed_call_should_have_been_allowed,<android.support.v7.widget.Toolbar: void ensureMenuView()> -> <android.support.v7.widget.ActionMenuView: void <init>(android.content.Context)>
well_formed_call_should_have_been_allowed,"<com.pixlr.model.effect.c: com.pixlr.model.k a(com.pixlr.utilities.Path,java.lang.String,java.lang.String)> -> <com.pixlr.model.k: void <init>(com.pixlr.model.Processor,com.pixlr.model.c,java.lang.String,int,com.pixlr.model.generator.DownloadableFile,com.pixlr.model.generator.DownloadableFile)>"
well_formed_call_should_have_been_allowed,<org.apache.cordova.ConfigXmlParser: void <init>()> -> <java.util.ArrayList: void <init>(int)>
well_formed_call_should_have_been_allowed,<android.support.v4.view.accessibility.AccessibilityRecordCompat: void <init>(java.lang.Object)> -> <java.lang.Object: void <init>()>
well_formed_call_should_have_been_allowed,"<android.support.v7.graphics.ColorCutQuantizer: void <init>(android.support.v7.graphics.ColorHistogram,int)> -> <android.support.v7.graphics.ColorCutQuantizer: boolean shouldIgnoreColor(int)>"
well_formed_call_should_have_been_allowed,<com.crashlytics.android.core.ByteString: void <init>(byte[])> -> <java.lang.Object: void <init>()>
well_formed_call_should_have_been_allowed,"<android.support.v7.a.af: boolean b(android.support.v7.a.ar)> -> <android.support.v7.view.e: void <init>(android.content.Context,int)>"
well_formed_call_should_have_been_allowed,"<com.google.android.gms.internal.zzbz: void <clinit>()> -> <com.google.android.gms.internal.zzbv: com.google.android.gms.internal.zzbv zza(int,java.lang.String,java.lang.Boolean)>"
well_formed_call_should_have_been_allowed,<com.crashlytics.android.d: void <init>(byte[])> -> <java.lang.Object: void <init>()>
well_formed_call_should_have_been_allowed,<com.c.a.c.a: com.c.a.c.a a(java.lang.String)> -> <com.c.a.c.a: void <init>(byte[])>
well_formed_call_should_have_been_allowed,<com.google.android.gms.ads.internal.client.zzl: void <init>()> -> <java.lang.Class: java.lang.Object newInstance()>
well_formed_call_should_have_been_allowed,"<android.support.v7.widget.SwitchCompat: void <init>(android.content.Context,android.util.AttributeSet,int)> -> <android.support.v7.widget.ResourcesWrapper: android.util.DisplayMetrics getDisplayMetrics()>"
well_formed_call_should_have_been_allowed,"<com.google.android.gms.internal.zzft$2: void <init>(int,java.lang.String,java.lang.Integer)> -> <com.google.android.gms.internal.zzft: void <init>(int,java.lang.String,java.lang.Object,com.google.android.gms.internal.zzft$1)>"
well_formed_call_should_have_been_allowed,<android.support.v7.widget.AppCompatTextHelperV17: void <init>(android.widget.TextView)> -> <android.support.v7.widget.AppCompatTextHelper: void <init>(android.widget.TextView)>
well_formed_call_should_have_been_allowed,"<com.google.android.gms.ads.internal.client.zzad: void <init>(com.google.android.gms.ads.internal.client.zzad$zza,com.google.android.gms.ads.search.SearchAdRequest)> -> <com.google.android.gms.ads.internal.client.zzad$zza: java.lang.String zzi(com.google.android.gms.ads.internal.client.zzad$zza)>"
well_formed_call_should_have_been_allowed,<com.facebook.FacebookContentProvider: void <clinit>()> -> <java.lang.Class: java.lang.String getName()>
well_formed_call_should_have_been_allowed,"<com.digitalchemy.foundation.g.b.g: void <init>(java.lang.String,com.digitalchemy.foundation.g.b.i)> -> <com.digitalchemy.foundation.g.b.i: int a()>"
well_formed_call_should_have_been_allowed,<com.google.android.gms.ads.internal.client.zzn: void <init>()> -> <com.google.android.gms.ads.internal.client.zzl: void <init>()>
well_formed_call_should_have_been_allowed,"<android.support.v7.widget.ActionBarContextView: void <init>(android.content.Context,android.util.AttributeSet,int)> -> <android.view.View: void setBackgroundDrawable(android.graphics.drawable.Drawable)>"
well_formed_call_should_have_been_allowed,"<com.quecontactos.pjc.QCTextView: void <init>(android.content.Context,android.util.AttributeSet)> -> <java.lang.String: boolean equals(java.lang.Object)>"
well_formed_call_should_have_been_allowed,<com.iforpowell.android.ipbike.IpBikeApplication: void be()> -> <java.lang.StringBuilder: void <init>()>
well_formed_call_should_have_been_allowed,<com.google.android.gms.common.api.Status: void <clinit>()> -> <com.google.android.gms.common.api.Status: void <init>(int)>
well_formed_call_should_have_been_allowed,<com.b.a.h: void <init>(boolean)> -> <com.b.a.i: void <init>()>
well_formed_call_should_have_been_allowed,"<com.pixlr.model.sticker.Sticker: void <init>(com.pixlr.model.generator.ParcelableImageGenerator,java.lang.String)> -> <com.pixlr.model.Processor: void <init>()>"
well_formed_call_should_have_been_allowed,<android.support.v7.widget.ContentFrameLayout: android.util.TypedValue getMinWidthMinor()> -> <android.util.TypedValue: void <init>()>
well_formed_call_should_have_been_allowed,<com.handmark.data.ScCode: void <init>(org.xml.sax.Attributes)> -> <org.xml.sax.Attributes: java.lang.String getValue(int)>
well_formed_call_should_have_been_allowed,<com.crashlytics.android.core.ByteString: com.crashlytics.android.core.ByteString a(java.lang.String)> -> <com.crashlytics.android.core.ByteString: void <init>(byte[])>
well_formed_call_should_have_been_allowed,<android.support.multidex.MultiDex: void <clinit>()> -> <android.support.multidex.MultiDex: boolean isVMMultidexCapable(java.lang.String)>
well_formed_call_should_have_been_allowed,<com.crashlytics.android.core.ByteString: void <init>(byte[])> -> <java.lang.Object: void <init>()>
well_formed_call_should_have_been_allowed,<com.b.a.o: java.util.List a(org.w3c.dom.NodeList)> -> <java.util.ArrayList: void <init>(int)>
well_formed_call_should_have_been_allowed,"<android.support.v7.widget.AppCompatSpinner: void <init>(android.content.Context,android.util.AttributeSet,int,int,android.content.res.Resources$Theme)> -> <android.support.v7.widget.TintTypedArray: int getResourceId(int,int)>"
well_formed_call_should_have_been_allowed,<cmcm.com.keyboard.themeapk.base.view.c: void onAnimationUpdate(android.animation.ValueAnimator)> -> <android.graphics.Canvas: void <init>(android.graphics.Bitmap)>
well_formed_call_should_have_been_allowed,"<android.support.v7.widget.AppCompatEditText: void <init>(android.content.Context,android.util.AttributeSet,int)> -> <android.support.v7.widget.AppCompatTextHelper: void applyCompoundDrawablesTints()>"
well_formed_call_should_have_been_allowed,"<com.google.android.gms.b.as: void <init>(android.content.Context,java.lang.String)> -> <android.support.v4.l.m: java.lang.Object put(java.lang.Object,java.lang.Object)>"
well_formed_call_should_have_been_allowed,"<com.pixlr.model.font.a: com.pixlr.model.k a(com.pixlr.model.f,com.pixlr.utilities.Path,java.lang.String,java.lang.String,int)> -> <com.pixlr.model.generator.GeneratorByteFile: void <init>(com.pixlr.utilities.Path)>"
well_formed_call_should_have_been_allowed,"<android.support.v7.widget.at: void <init>(android.content.Context,android.util.AttributeSet,int)> -> <android.support.v7.widget.as: void <init>(android.widget.ImageView)>"
well_formed_call_should_have_been_allowed,"<com.pixlr.utilities.Path: void <init>(com.pixlr.utilities.Path,java.lang.String[],java.lang.String)> -> <java.lang.Object: void <init>()>"
well_formed_call_should_have_been_allowed,<b.b: void <init>(org.w3c.dom.Element)> -> <b.c: void <init>(org.w3c.dom.Element)>
well_formed_call_should_have_been_allowed,<com.google.android.gms.internal.zzfp: void <init>(android.content.Context)> -> <com.google.android.gms.internal.zzfp: void <init>(com.google.android.gms.internal.zzfo)>
well_formed_call_should_have_been_allowed,<com.crashlytics.android.core.ByteString: com.crashlytics.android.core.ByteString copyFromUtf8(java.lang.String)> -> <com.crashlytics.android.core.ByteString: void <init>(byte[])>
well_formed_call_should_have_been_allowed,<org.apache.cordova.CordovaWebViewImpl: void <init>(org.apache.cordova.CordovaWebViewEngine)> -> <org.apache.cordova.CordovaWebViewImpl$EngineClient: void <init>(org.apache.cordova.CordovaWebViewImpl)>
well_formed_call_should_have_been_allowed,<android.support.v4.view.PointerIconCompat: void <clinit>()> -> <android.support.v4.view.PointerIconCompat$BasePointerIconCompatImpl: void <init>()>
well_formed_call_should_have_been_allowed,<com.bytestorm.artflow.Editor: void <clinit>()> -> <java.lang.System: void loadLibrary(java.lang.String)>
well_formed_call_should_have_been_allowed,<com.knoozapps.boyorgirl.PlaceData: java.util.ArrayList placeList()> -> <com.knoozapps.boyorgirl.Place: void <init>()>
well_formed_call_should_have_been_allowed,<com.b.a.k: void <init>(java.lang.String)> -> <com.b.a.i: void <init>()>
well_formed_call_should_have_been_allowed,"<com.google.android.gms.e.ro: void <init>(android.app.Activity,android.view.ViewTreeObserver$OnGlobalLayoutListener,android.view.ViewTreeObserver$OnScrollChangedListener)> -> <java.lang.Object: void <init>()>"
well_formed_call_should_have_been_allowed,"<com.fasterxml.jackson.databind.MapperFeature: void <init>(java.lang.String,int,boolean)> -> <java.lang.Enum: void <init>(java.lang.String,int)>"
well_formed_call_should_have_been_allowed,<com.google.android.gms.internal.zzarg: void <init>(int)> -> <com.google.android.gms.internal.zzarg: int idealIntArraySize(int)>
well_formed_call_should_have_been_allowed,<com.facebook.react.uimanager.Spacing: void <init>(float)> -> <java.lang.Object: void <init>()>
well_formed_call_should_have_been_allowed,<android.support.v7.a.f: void <init>()> -> <android.support.v4.app.l: void <init>()>
well_formed_call_should_have_been_allowed,<android.support.v4.util.ArrayMap: void <init>()> -> <android.support.v4.util.SimpleArrayMap: void <init>()>
well_formed_call_should_have_been_allowed,"<com.squareup.picasso.BitmapHunter: com.squareup.picasso.BitmapHunter forRequest(com.squareup.picasso.Picasso,com.squareup.picasso.Dispatcher,com.squareup.picasso.Cache,com.squareup.picasso.Stats,com.squareup.picasso.Action)> -> <com.squareup.picasso.BitmapHunter: void <init>(com.squareup.picasso.Picasso,com.squareup.picasso.Dispatcher,com.squareup.picasso.Cache,com.squareup.picasso.Stats,com.squareup.picasso.Action,com.squareup.picasso.RequestHandler)>"
well_formed_call_should_have_been_allowed,"<com.google.android.gms.tagmanager.zzcw: void <init>(android.content.Context,com.google.android.gms.internal.zzadw$zzc,com.google.android.gms.tagmanager.DataLayer,com.google.android.gms.tagmanager.zzt$zza,com.google.android.gms.tagmanager.zzt$zza,com.google.android.gms.tagmanager.zzai)> -> <com.google.android.gms.tagmanager.zzdl: java.lang.Boolean zzk(com.google.android.gms.internal.zzai$zza)>"
well_formed_call_should_have_been_allowed,<com.google.android.gms.internal.zzqk: void <init>(android.content.Context)> -> <com.google.android.gms.common.internal.zzai: java.lang.String getString(java.lang.String)>
well_formed_call_should_have_been_allowed,<com.crashlytics.android.core.ByteString: com.crashlytics.android.core.ByteString copyFromUtf8(java.lang.String)> -> <com.crashlytics.android.core.ByteString: void <init>(byte[])>
well_formed_call_should_have_been_allowed,"<com.google.android.gms.internal.zzgd: void <init>(long,java.lang.String,com.google.android.gms.internal.zzgd)> -> <java.lang.Object: void <init>()>"
well_formed_call_should_have_been_allowed,<com.google.android.gms.common.util.zzw: void <clinit>()> -> <java.util.regex.Pattern: java.util.regex.Pattern compile(java.lang.String)>
well_formed_call_should_have_been_allowed,<com.facebook.internal.al: void <clinit>()> -> <java.lang.Integer: java.lang.Integer valueOf(int)>
well_formed_call_should_have_been_allowed,<android.support.design.widget.v: void <init>()> -> <android.support.design.widget.CoordinatorLayout$a: void <init>()>
well_formed_call_should_have_been_allowed,"<com.youmail.android.util.logging.AndroidLogger: void <init>(java.lang.String,java.util.List)> -> <java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>"
well_formed_call_should_have_been_allowed,<com.adobe.mobile.ContextData: void <init>()> -> <java.lang.Object: void <init>()>
well_formed_call_should_have_been_allowed,"<android.support.graphics.drawable.VectorDrawableCompat: void inflateInternal(android.content.res.Resources,org.xmlpull.v1.XmlPullParser,android.util.AttributeSet,android.content.res.Resources$Theme)> -> <android.support.graphics.drawable.VectorDrawableCompat$VFullPath: void <init>()>"
well_formed_call_should_have_been_allowed,"<android.support.v7.widget.gi: android.support.v7.widget.gi a(android.content.Context,android.util.AttributeSet,int[],int,int)> -> <android.support.v7.widget.gi: void <init>(android.content.Context,android.content.res.TypedArray)>"
well_formed_call_should_have_been_allowed,"<com.github.clans.fab.FloatingActionButton: void <init>(android.content.Context,android.util.AttributeSet,int)> -> <com.github.clans.fab.c: int a(android.content.Context,float)>"
well_formed_call_should_have_been_allowed,"<com.google.android.gms.internal.zzjo: void zza(java.lang.String,com.google.android.gms.internal.zzdl)> -> <java.util.concurrent.CopyOnWriteArrayList: void <init>()>"
well_formed_call_should_have_been_allowed,"<okhttp3.CipherSuite: void <clinit>()> -> <okhttp3.CipherSuite: okhttp3.CipherSuite of(java.lang.String,int)>"
well_formed_call_should_have_been_allowed,<io.a.a.a.a.c.p: void <init>()> -> <java.util.concurrent.atomic.AtomicReference: void <init>(java.lang.Object)>
well_formed_call_should_have_been_allowed,"<android.support.v7.widget.du: android.support.v7.widget.du a(android.content.Context,android.util.AttributeSet,int[],int,int)> -> <android.support.v7.widget.du: void <init>(android.content.Context,android.content.res.TypedArray)>"
well_formed_call_should_have_been_allowed,"<net.zedge.android.ZedgeApplication$TwitterAuhtConfig: void <init>(net.zedge.android.ZedgeApplication,java.lang.String,java.lang.String)> -> <com.twitter.sdk.android.core.TwitterAuthConfig: void <init>(java.lang.String,java.lang.String)>"
well_formed_call_should_have_been_allowed,<com.crashlytics.android.core.ByteString: void <init>(byte[])> -> <java.lang.Object: void <init>()>
well_formed_call_should_have_been_allowed,<com.webtrends.mobile.analytics.WebtrendsConfig: void loadConfigResources(boolean)> -> <java.lang.StringBuilder: void <init>()>
well_formed_call_should_have_been_allowed,<com.b.a.h: void <init>(boolean)> -> <com.b.a.i: void <init>()>
well_formed_call_should_have_been_allowed,"<com.j256.ormlite.stmt.mapped.MappedQueryForId: java.lang.String buildStatement(com.j256.ormlite.db.DatabaseType,com.j256.ormlite.table.TableInfo,com.j256.ormlite.field.FieldType)> -> <java.lang.StringBuilder: void <init>(int)>"
well_formed_call_should_have_been_allowed,<com.crashlytics.android.core.ByteString: void <init>(byte[])> -> <java.lang.Object: void <init>()>
well_formed_call_should_have_been_allowed,"<com.google.android.gms.internal.zzch: com.google.android.gms.internal.zzcf zzb(long)> -> <com.google.android.gms.internal.zzcf: void <init>(long,java.lang.String,com.google.android.gms.internal.zzcf)>"
well_formed_call_should_have_been_allowed,<br: br a(java.lang.String)> -> <br: void <init>(byte[])>
well_formed_call_should_have_been_allowed,"<android.support.v7.widget.AppCompatButton: void <init>(android.content.Context,android.util.AttributeSet,int)> -> <android.support.v7.widget.AppCompatDrawableManager: android.support.v7.widget.AppCompatDrawableManager get()>"
well_formed_call_should_have_been_allowed,"<com.crashlytics.android.core.ClsFileOutputStream: void <init>(java.io.File,java.lang.String)> -> <java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>"
well_formed_call_should_have_been_allowed,"<okhttp3.CipherSuite: void <clinit>()> -> <okhttp3.CipherSuite: void <init>(java.lang.String,int,java.lang.String,int,int,int,int)>"
well_formed_call_should_have_been_allowed,<com.seattleclouds.b.f: java.lang.String a(java.lang.String[])> -> <java.net.URL: void <init>(java.lang.String)>
well_formed_call_should_have_been_allowed,"<com.facebook.internal.Utility: void setAppEventExtendedDeviceInfoParameters(org.json.JSONObject,android.content.Context)> -> <org.json.JSONArray: void <init>()>"
well_formed_call_should_have_been_allowed,"<android.support.v7.widget.ToolbarWidgetWrapper: void <init>(android.support.v7.widget.Toolbar,boolean,int,int)> -> <android.support.v7.widget.TintTypedArray: android.graphics.drawable.Drawable getDrawable(int)>"
well_formed_call_should_have_been_allowed,<android.support.v7.view.menu.MenuBuilder: void <init>(android.content.Context)> -> <java.util.ArrayList: void <init>()>
well_formed_call_should_have_been_allowed,<com.startapp.android.publish.b.b: void <init>(com.startapp.android.publish.b.f)> -> <com.startapp.android.publish.model.MetaData: com.startapp.android.publish.model.MetaData getInstance()>
well_formed_call_should_have_been_allowed,<com.crashlytics.android.core.ByteString: void <init>(byte[])> -> <java.lang.Object: void <init>()>
well_formed_call_should_have_been_allowed,"<com.pixlr.model.sticker.Sticker: void <init>(com.pixlr.model.generator.ParcelableImageGenerator,java.lang.String)> -> <com.pixlr.model.Processor: void a(java.lang.String)>"
well_formed_call_should_have_been_allowed,<com.crashlytics.android.core.ByteString: com.crashlytics.android.core.ByteString copyFromUtf8(java.lang.String)> -> <com.crashlytics.android.core.ByteString: void <init>(byte[])>
well_formed_call_should_have_been_allowed,<com.google.android.gms.internal.zzqw: void <init>(android.content.Context)> -> <com.google.android.gms.common.internal.zzaj: java.lang.String getString(java.lang.String)>
well_formed_call_should_have_been_allowed,<com.hmobile.model.TodayVerseInfo: void <clinit>()> -> <java.lang.Integer: java.lang.Integer valueOf(int)>
well_formed_call_should_have_been_allowed,<com.vungle.publisher.oh: void <init>(dagger.MembersInjector)> -> <java.lang.Object: void <init>()>
well_formed_call_should_have_been_allowed,<android.support.v7.widget.bm: void <init>(android.widget.TextView)> -> <java.lang.Object: void <init>()>
well_formed_call_should_have_been_allowed,<com.yahoo.mobile.client.android.sdk.finance.provider.WatchlistProvider: void <clinit>()> -> <android.support.v4.h.h: boolean hasNext()>
well_formed_call_should_have_been_allowed,"<com.google.analytics.tracking.android.ao: void <clinit>()> -> <com.google.analytics.tracking.android.ao: void <init>(java.lang.String,int)>"
well_formed_call_should_have_been_allowed,"<com.google.android.gms.clearcut.b: void <init>(android.content.Context,int,java.lang.String,java.lang.String,java.lang.String,boolean,com.google.android.gms.clearcut.g,com.google.android.gms.b.xu,com.google.android.gms.clearcut.f,com.google.android.gms.clearcut.a)> -> <android.content.ContextWrapper: java.lang.String getPackageName()>"
well_formed_call_should_have_been_allowed,<com.twobrothers.real_gun_sounds.weapon.AllWeapons: void <init>(java.util.ArrayList)> -> <com.twobrothers.real_gun_sounds.weapon.AllWeapons: int[] getWeaponSoundsId()>
well_formed_call_should_have_been_allowed,"<com.google.android.gms.analytics.internal.an: void <clinit>()> -> <com.google.android.gms.analytics.internal.an$a: com.google.android.gms.analytics.internal.an$a a(java.lang.String,java.lang.String)>"
well_formed_call_should_have_been_allowed,<com.fasterxml.jackson.databind.introspect.AnnotatedMethodMap: void add(com.fasterxml.jackson.databind.introspect.AnnotatedMethod)> -> <com.fasterxml.jackson.databind.introspect.MemberKey: void <init>(java.lang.reflect.Method)>
well_formed_call_should_have_been_allowed,<com.google.android.gms.common.util.zzt: java.lang.String zzhc(int)> -> <java.lang.StringBuilder: void <init>(int)>
well_formed_call_should_have_been_allowed,<com.crashlytics.android.core.ByteString: com.crashlytics.android.core.ByteString copyFromUtf8(java.lang.String)> -> <com.crashlytics.android.core.ByteString: void <init>(byte[])>
well_formed_call_should_have_been_allowed,<com.passiontocode.photo_sticker.MainActivity: void onCreate(android.os.Bundle)> -> <com.passiontocode.photo_sticker.Mylist: void <init>()>
well_formed_call_should_have_been_allowed,"<com.google.gson.Gson: java.lang.Object fromJson(com.google.gson.JsonElement,java.lang.reflect.Type)> -> <com.google.gson.internal.bind.JsonTreeReader: void <init>(com.google.gson.JsonElement)>"
well_formed_call_should_have_been_allowed,<b.b: void <init>(org.w3c.dom.Element)> -> <org.w3c.dom.Node: short getNodeType()>
well_formed_call_should_have_been_allowed,<android.support.v7.widget.AppCompatTextHelperV17: void <init>(android.widget.TextView)> -> <android.support.v7.widget.AppCompatTextHelper: void <init>(android.widget.TextView)>
well_formed_call_should_have_been_allowed,"<android.support.v7.widget.gy: android.support.v7.widget.gy a(android.content.Context,android.util.AttributeSet,int[],int,int)> -> <android.support.v7.widget.gy: void <init>(android.content.Context,android.content.res.TypedArray)>"
well_formed_call_should_have_been_allowed,<com.fasterxml.jackson.databind.node.DoubleNode: void <init>(double)> -> <com.fasterxml.jackson.databind.node.NumericNode: void <init>()>
well_formed_call_should_have_been_allowed,<com.glympse.android.hal.ConnectivityChecker: void <clinit>()> -> <com.glympse.android.hal.ConnectivityChecker$b: void <init>(com.glympse.android.hal.ConnectivityChecker$1)>
well_formed_call_should_have_been_allowed,"<android.support.v7.widget.ViewStubCompat: void <init>(android.content.Context,android.util.AttributeSet,int)> -> <android.content.res.TypedArray: void recycle()>"
well_formed_call_should_have_been_allowed,<android.support.v4.util.SimpleArrayMap: void <init>()> -> <java.lang.Object: void <init>()>
well_formed_call_should_have_been_allowed,"<a.e: void <init>(java.lang.String,int,java.lang.String,int,int,int,int)> -> <java.lang.Enum: void <init>(java.lang.String,int)>"
well_formed_call_should_have_been_allowed,"<u.aly.cm: void <init>(byte)> -> <u.aly.cm: void <init>(byte,boolean)>"
well_formed_call_should_have_been_allowed,<com.b.a.o: com.b.a.i a(org.w3c.dom.Node)> -> <com.b.a.d: void <init>(int)>
well_formed_call_should_have_been_allowed,<com.crashlytics.android.core.ByteString: com.crashlytics.android.core.ByteString copyFromUtf8(java.lang.String)> -> <com.crashlytics.android.core.ByteString: void <init>(byte[])>
well_formed_call_should_have_been_allowed,<com.b.a.d: void <init>(int)> -> <com.b.a.i: void <init>()>
well_formed_call_should_have_been_allowed,"<com.google.android.gms.measurement.internal.zzp: void <init>(com.google.android.gms.measurement.internal.zzw)> -> <com.google.android.gms.measurement.internal.zzp$zza: void <init>(com.google.android.gms.measurement.internal.zzp,int,boolean,boolean)>"
well_formed_call_should_have_been_allowed,"<com.google.android.gms.internal.zzfx: void <clinit>()> -> <com.google.android.gms.internal.zzft: com.google.android.gms.internal.zzft zza(int,java.lang.String,java.lang.Boolean)>"
well_formed_call_should_have_been_allowed,"<android.support.design.internal.ScrimInsetsFrameLayout: void <init>(android.content.Context,android.util.AttributeSet,int)> -> <android.graphics.Rect: void <init>()>"
well_formed_call_should_have_been_allowed,"<com.pixlr.model.generator.DownloadableFile: void <init>(com.pixlr.utilities.Path,com.pixlr.utilities.Path)> -> <com.pixlr.model.generator.GeneratorFile: void <init>(com.pixlr.utilities.Path)>"
well_formed_call_should_have_been_allowed,"<com.google.inject.Key: void <init>(java.lang.reflect.Type,com.google.inject.Key$AnnotationStrategy)> -> <java.lang.Object: void <init>()>"
well_formed_call_should_have_been_allowed,"<android.support.v7.widget.bl: android.support.v7.widget.bl a(android.content.Context,android.util.AttributeSet,int[],int,int)> -> <android.support.v7.widget.bl: void <init>(android.content.Context,android.content.res.TypedArray)>"
well_formed_call_should_have_been_allowed,<br: void <init>(byte[])> -> <java.lang.Object: void <init>()>
well_formed_call_should_have_been_allowed,"<com.google.android.gms.games.config.G: void <clinit>()> -> <com.google.android.gms.common.config.GservicesValue: com.google.android.gms.common.config.GservicesValue value(java.lang.String,java.lang.Integer)>"
well_formed_call_should_have_been_allowed,"<com.google.common.collect.RegularImmutableMap: void <init>(int,com.google.common.collect.ImmutableMapEntry$TerminalEntry[])> -> <com.google.common.collect.Hashing: int smear(int)>"
well_formed_call_should_have_been_allowed,<com.pixlr.model.generator.GeneratorFile: void <init>(com.pixlr.utilities.Path)> -> <java.lang.Object: void <init>()>
well_formed_call_should_have_been_allowed,"<akq: void <init>(android.content.Context,java.lang.String)> -> <android.content.ContextWrapper: android.content.Context getApplicationContext()>"
well_formed_call_should_have_been_allowed,<com.crashlytics.android.core.ByteString: void <init>(byte[])> -> <java.lang.Object: void <init>()>
well_formed_call_should_have_been_allowed,"<com.urbandroid.common.error.LogCatExtractor: java.util.List getLogcatOutput(java.lang.String,int,java.lang.String)> -> <java.lang.StringBuilder: void <init>()>"
well_formed_call_should_have_been_allowed,<com.qrscanner.adminapp.db.EpicVINDBHelper: void <init>(android.content.Context)> -> <android.support.v7.app.AppCompatActivity: android.content.res.Resources getResources()>
well_formed_call_should_have_been_allowed,"<com.google.android.gms.ads.internal.util.client.VersionInfoParcel: void <init>(int,int,boolean,boolean)> -> <java.lang.String: int length()>"
well_formed_call_should_have_been_allowed,<com.b.a.o: com.b.a.i a(org.w3c.dom.Node)> -> <com.b.a.k: void <init>(java.lang.String)>
well_formed_call_should_have_been_allowed,"<com.google.android.gms.tagmanager.zzcx: void <init>(android.content.Context,com.google.android.gms.internal.zzafg$zzc,com.google.android.gms.tagmanager.DataLayer,com.google.android.gms.tagmanager.zzu$zza,com.google.android.gms.tagmanager.zzu$zza,com.google.android.gms.tagmanager.zzaj)> -> <com.google.android.gms.internal.zzafg$zza: java.util.Map zzcjs()>"
